sample_id	species	abundance	adjust_abundance	GC_percentage	N50	contigs_bigger_500	largest_contig	total_contigs	total_length	low_coverage_contigs	expected_genome_min	expected_genome_max	within_genome_expected	difference	mlst-alleles	mlst	mlst-species	CE_alleles	PCR_genes	phylotype	quadraplex	antigenic_profile	predicted_serotype	subspecies	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	high_quality
SAMD00099596	Neisseria gonorrhoeae	99.455	99.455	52.45	65719	91	207789	129	2134592		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(170),fumC(964),gdh(148),pdhC(153),pgm(65)	13843	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	952	1	0	0	0	99.82	0.21	0.0	True
SAMD00105881	Neisseria gonorrhoeae	99.247	99.247	52.4	67402	84	328597	124	2147918	contig00113	1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105883	Neisseria gonorrhoeae	98.912	98.912	52.4	65530	75	205031	100	2145112		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105889	Neisseria gonorrhoeae	99.334	99.334	52.65	77410	80	204868	112	2089669		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105890	Neisseria gonorrhoeae	99.483	99.483	52.65	68788	85	205127	127	2081862		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105892	Neisseria gonorrhoeae	99.477	99.477	52.41	65530	87	204978	128	2141829		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105897	Neisseria gonorrhoeae	99.264	99.264	52.64	67212	81	204868	107	2094775		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105898	Neisseria gonorrhoeae	99.384	99.384	52.41	68758	80	205153	114	2147975		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105899	Neisseria gonorrhoeae	99.276	99.276	52.4	65530	81	228529	114	2140847	contig00093	1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105900	Neisseria gonorrhoeae	99.515	99.515	52.41	65528	77	333525	108	2146901		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105903	Neisseria gonorrhoeae	99.402	99.402	52.7	65737	82	255336	106	2077186		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105904	Neisseria gonorrhoeae	99.34	99.34	52.42	66885	87	205169	124	2140204		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105906	Neisseria gonorrhoeae	99.399	99.399	52.41	65530	81	204971	112	2145185		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00105907	Neisseria gonorrhoeae	99.281	99.281	52.41	65995	73	220227	98	2152791		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	4	950	2	0	0	0	99.71	0.42	0.0	True
SAMD00105912	Neisseria gonorrhoeae	99.131	99.131	52.42	65530	89	358017	125	2144427		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	4	950	2	0	0	0	99.71	0.42	0.0	True
SAMD00105914	Neisseria gonorrhoeae	99.211	99.211	52.41	67303	83	205303	117	2145971		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00116670	Neisseria gonorrhoeae	99.303	99.303	52.41	67253	84	248757	127	2151826		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(170),fumC(111),gdh(148),pdhC(153),pgm(65)	1901	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	952	1	0	0	0	99.82	0.21	0.0	True
SAMD00116672	Neisseria gonorrhoeae	99.335	99.335	52.41	78740	87	229958	130	2154299		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(170),fumC(111),gdh(148),pdhC(153),pgm(65)	1901	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	952	1	0	0	0	99.82	0.21	0.0	True
SAMD00116673	Neisseria gonorrhoeae	99.328	99.328	52.41	76408	79	217606	114	2154549		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(170),fumC(111),gdh(148),pdhC(153),pgm(65)	1901	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	4	951	1	0	0	0	99.71	0.21	0.0	True
SAMEA102350668	Neisseria lactamica	83.21	83.21	52.36	125121	52	248921	61	2202698		1748000.0	2623000.0	TRUE		abcZ(80),adk(43),aroE(48),fumC(856),gdh(835),pdhC(44),pgm(86)	12950	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	2	655	0	0	0	0	99.81	0.0	0.0	True
SAMEA102352918	Neisseria lactamica	77.02	77.02	52.32	121750	49	400558	61	2143650		1748000.0	2623000.0	TRUE		abcZ(80),adk(53),aroE(39),fumC(45),gdh(96),pdhC(50),pgm(43)	12951	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102355168	Neisseria lactamica	76.455	76.455	52.26	130543	61	311468	73	2195902		1748000.0	2623000.0	TRUE		abcZ(40),adk(43),aroE(87),fumC(97),gdh(102),pdhC(44),pgm(56)	12947	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102358918	Neisseria lactamica	84.915	84.915	52.37	175940	38	373317	45	2160093		1748000.0	2623000.0	TRUE		abcZ(80),adk(209),aroE(98),fumC(57),gdh(629),pdhC(42),pgm(86)	12949	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102359668	Neisseria lactamica	78.104	78.104	52.03	124123	64	416581	86	2201146		1748000.0	2623000.0	TRUE		abcZ(29),adk(43),aroE(39),fumC(45),gdh(65),pdhC(42),pgm(824)	12745	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102368668	Neisseria polysaccharea	46.572	46.572	51.84	183110	33	344935	42	2057671		1645000.0	2469000.0	TRUE		abcZ(786),adk(66),aroE(40),fumC(167),gdh(219),pdhC(43),pgm(823)	12746	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102374668	Neisseria subflava	78.922	78.922	48.95	134463	49	402103	73	2285685		1809000.0	2715000.0	TRUE		abcZ(822),adk(453),aroE(738),fumC(857),gdh(707),pdhC(711),pgm(722)	12952	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	654	2	0	0	0	99.92	0.45	0.0	True
SAMEA102379918	Neisseria lactamica	76.634	76.634	52.34	138415	52	336680	62	2164159		1748000.0	2623000.0	TRUE		abcZ(284),adk(53),aroE(54),fumC(45),gdh(95),pdhC(50),pgm(43)	4070	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102385168	Neisseria lactamica	77.603	77.603	52.24	161572	50	297775	58	2129147	contig00054	1748000.0	2623000.0	TRUE		abcZ(40),adk(43),aroE(87),fumC(97),gdh(102),pdhC(50),pgm(56)	12074	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102385918	Neisseria lactamica	76.388	76.388	52.33	144168	47	284482	54	2157078		1748000.0	2623000.0	TRUE		abcZ(40),adk(53),aroE(54),fumC(45),gdh(173),pdhC(50),pgm(43)	1209	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102388168	Neisseria lactamica	94.098	94.098	52.04	142297	65	510025	80	2197803		1748000.0	2623000.0	TRUE		abcZ(84),adk(49),aroE(48),fumC(45),gdh(92),pdhC(46),pgm(45)	9418	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102400168	Neisseria meningitidis	95.752	95.752	51.62	76499	86	148651	128	2103108		1702000.0	2554000.0	TRUE		abcZ(17),adk(5),aroE(19),fumC(17),gdh(3),pdhC(26),pgm(12)	2002	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	4	795	5	0	0	0	99.37	0.71	0.0	True
SAMEA102408418	Neisseria lactamica	78.09	78.09	52.26	137572	46	376551	51	2187938		1748000.0	2623000.0	TRUE		abcZ(83),adk(43),aroE(39),fumC(100),gdh(65),pdhC(42),pgm(56)	1211	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102409918	Neisseria subflava	92.681	92.681	48.86	272984	28	373058	39	2314012		1809000.0	2715000.0	TRUE		abcZ(770),adk(597),aroE(820),fumC(863),gdh(785),pdhC(794),pgm(230)	12953	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	655	1	0	0	0	99.94	0.23	0.0	True
SAMEA102411418	Neisseria lactamica	75.972	75.972	52.2	308659	34	504534	39	2177644		1748000.0	2623000.0	TRUE		abcZ(823),adk(47),aroE(68),fumC(102),gdh(81),pdhC(46),pgm(88)	12948	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102415168	Neisseria lactamica	93.249	93.249	52.36	168430	43	510435	52	2158008		1748000.0	2623000.0	TRUE		abcZ(84),adk(49),aroE(48),fumC(45),gdh(92),pdhC(46),pgm(45)	9418	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102415918	Neisseria lactamica	76.769	76.769	52.24	149983	44	348873	50	2121596		1748000.0	2623000.0	TRUE		abcZ(81),adk(47),aroE(100),fumC(98),gdh(81),pdhC(46),pgm(88)	624	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102416668	Neisseria lactamica	76.65	76.65	52.36	138450	46	294583	55	2120052		1748000.0	2623000.0	TRUE		abcZ(284),adk(53),aroE(54),fumC(45),gdh(95),pdhC(50),pgm(43)	4070	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102441418	Neisseria meningitidis	93.533	93.533	51.76	67633	91	218897	150	2115329		1702000.0	2554000.0	TRUE		abcZ(1),adk(5),aroE(13),fumC(53),gdh(26),pdhC(41),pgm(3)	162	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	2	801	1	0	0	0	99.75	0.19	0.0	True
SAMEA102463168	Neisseria meningitidis	93.52	93.52	51.69	70578	85	210110	153	2113980		1702000.0	2554000.0	TRUE		abcZ(1),adk(5),aroE(13),fumC(53),gdh(26),pdhC(41),pgm(3)	162	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	2	801	1	0	0	0	99.75	0.19	0.0	True
SAMEA102471418	Neisseria lactamica	79.936	79.936	52.66	168397	27	349738	29	2015894		1748000.0	2623000.0	TRUE		abcZ(83),adk(50),aroE(87),fumC(45),gdh(90),pdhC(46),pgm(94)	638	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA102475918	Neisseria lactamica	77.013	77.013	52.31	146491	50	403109	60	2153130		1748000.0	2623000.0	TRUE		abcZ(80),adk(53),aroE(104),fumC(45),gdh(96),pdhC(50),pgm(43)	616	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA103366168	Neisseria meningitidis	92.895	92.895	51.75	66222	78	218741	134	2115956		1702000.0	2554000.0	TRUE		abcZ(1),adk(5),aroE(13),fumC(53),gdh(26),pdhC(41),pgm(3)	162	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	2	801	1	0	0	0	99.75	0.19	0.0	True
SAMEA103894053	Neisseria elongata	16.413	16.413	54.63	130222	37	278572	39	2014464	contig00022,contig00031,contig00039	1918000.0	2878000.0	TRUE			-	-			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	12	645	0	0	0	0	98.13	0.0	0.0	True
SAMEA103982724	Neisseria meningitidis	97.879	97.879	51.76	68217	63	195048	119	2090166		1702000.0	2554000.0	TRUE		abcZ(3),adk(6),aroE(9),fumC(60),gdh(9),pdhC(20),pgm(9)	2012	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	2	801	1	0	0	0	99.75	0.19	0.0	True
SAMEA103982814	Neisseria lactamica	80.423	80.423	52.29	130812	41	424260	49	2105055		1748000.0	2623000.0	TRUE		abcZ(802),adk(43),aroE(39),fumC(45),gdh(65),pdhC(42),pgm(37)	12638	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	2	655	0	0	0	0	99.7	0.0	0.0	True
SAMEA103982817	Neisseria lactamica	74.279	74.279	51.83	203637	52	478674	68	2214436		1748000.0	2623000.0	TRUE		abcZ(83),adk(90),aroE(87),fumC(45),gdh(624),pdhC(46),pgm(876)	12954	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	655	1	0	0	0	99.92	0.05	0.0	True
SAMEA103982821	Neisseria lactamica	77.212	77.212	52.28	136057	61	454139	68	2126519		1748000.0	2623000.0	TRUE		abcZ(83),adk(531),aroE(114),fumC(45),gdh(779),pdhC(46),pgm(801)	12158	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	656	0	0	0	0	99.92	0.0	0.0	True
SAMEA103982823	Neisseria meningitidis	96.428	96.428	51.83	67775	77	195488	124	2073371		1702000.0	2554000.0	TRUE		abcZ(28),adk(6),aroE(9),fumC(35),gdh(9),pdhC(6),pgm(9)	12064	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	3	799	2	0	0	0	99.56	0.38	0.0	True
SAMEA103982890	Neisseria meningitidis	98.334	98.334	51.66	65417	94	108604	151	2140911		1702000.0	2554000.0	TRUE		abcZ(27),adk(6),aroE(9),fumC(3),gdh(9),pdhC(6),pgm(16)	136	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	2	801	1	0	0	0	99.75	0.19	0.0	True
SAMEA104055818	Neisseria meningitidis	95.533	95.533	51.72	72790	83	101180	150	2148259		1702000.0	2554000.0	TRUE		abcZ(6),adk(5),aroE(34),fumC(13),gdh(5),pdhC(24),pgm(17)	174	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3901)	50	804	526	3	800	1	0	0	0	99.65	0.19	0.0	True
SAMEA104081172	Neisseria gonorrhoeae	98.528	98.528	52.32	67337	86	169303	111	2179913		1715000.0	2574000.0	TRUE		abcZ(126),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	1600	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	950	3	0	0	0	99.82	0.52	0.0	True
SAMEA104081173	Neisseria gonorrhoeae	97.497	97.497	52.5	65822	85	207740	116	2137792		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.31	0.0	True
SAMEA104081180	Neisseria gonorrhoeae	97.965	97.965	52.48	69160	91	207830	120	2128316		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(170),fumC(78),gdh(148),pdhC(154),pgm(133)	11179	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.31	0.0	True
SAMEA104081190	Neisseria gonorrhoeae	98.88	98.88	52.62	67874	91	140095	121	2108405		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(157),gdh(188),pdhC(153),pgm(65)	8161	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	950	3	0	0	0	99.82	0.52	0.0	True
SAMEA104081191	Neisseria gonorrhoeae	95.042	95.042	52.34	68993	88	207810	112	2178702		1715000.0	2574000.0	TRUE		abcZ(59),adk(112),aroE(67),fumC(190),gdh(148),pdhC(153),pgm(65)	-	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.31	0.0	True
SAMEA104081193	Neisseria gonorrhoeae	99.182	99.182	52.45	75759	86	207396	106	2136965		1715000.0	2574000.0	TRUE		abcZ(126),adk(39),aroE(67),fumC(111),gdh(148),pdhC(153),pgm(65)	7365	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	4	951	1	0	0	0	99.61	0.21	0.0	True
SAMEA104081194	Neisseria gonorrhoeae	98.6	98.6	52.6	72001	78	207322	109	2114329		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(170),fumC(78),gdh(146),pdhC(530),pgm(65)	13266	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	950	3	0	0	0	99.82	0.52	0.0	True
SAMEA104081200	Neisseria gonorrhoeae	98.784	98.784	52.62	65437	95	140184	130	2080074		1715000.0	2574000.0	TRUE		abcZ(126),adk(39),aroE(67),fumC(238),gdh(148),pdhC(153),pgm(133)	9363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	952	1	0	0	0	99.82	0.21	0.0	True
SAMEA104081204	Neisseria gonorrhoeae	97.521	97.521	52.33	72402	97	207689	124	2183535		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(157),gdh(148),pdhC(71),pgm(133)	8776	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.31	0.0	True
SAMEA104081224	Neisseria gonorrhoeae	98.46	98.46	52.39	67170	87	152416	114	2164452		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(158),gdh(148),pdhC(71),pgm(65)	1588	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.31	0.0	True
